(0.035980,0.386880,-2.964360,4.000000)
(0.041720,0.385230,-2.961970,276.000000)
(0.043370,0.387160,-2.952850,572.000000)
(0.040410,0.386740,-2.960550,812.000000)
(0.041260,0.385640,-2.961310,1064.000000)
(0.041250,0.387820,-2.962930,1336.000000)
(0.040570,0.390940,-2.960740,1620.000000)
(0.041320,0.386140,-2.957710,1880.000000)
(0.042720,0.383700,-2.960220,2136.000000)
(0.040310,0.388530,-2.959020,2408.000000)
(0.043870,0.388120,-2.960120,2672.000000)
(0.042950,0.386060,-2.959140,2936.000000)
(0.041580,0.385980,-2.955860,3200.000000)
(0.043100,0.385570,-2.961510,3464.000000)
(0.041050,0.388220,-2.960700,3720.000000)
(0.043950,0.385800,-2.960610,3992.000000)
(0.041500,0.386280,-2.958210,4248.000000)
(0.040200,0.386400,-2.959840,4504.000000)
(0.041050,0.386940,-2.959390,4772.000000)
(0.043020,0.385050,-2.959080,5040.000000)
(0.041410,0.388620,-2.960000,5296.000000)
(0.042770,0.385910,-2.958870,5552.000000)
(0.042360,0.385030,-2.958770,5808.000000)
(0.042370,0.386610,-2.956700,6076.000000)
(0.041100,0.387840,-2.964120,6336.000000)
